Client,Filing_Delay_Days,Filing_period,Tax_Type,Filing_Frequency,Industry_Sector, Company_Turnover , Amount_Paid ,Date_Paid,Management_Type
Company A,0,2025-01,VAT,12,ICT," 7,978,272,000.00 "," 25,333,215.06 ",21/02/2025,Foreign
Company A,0,2025-07,VAT,12,ICT," 7,978,272,000.00 "," 34,553,655.00 ",21/08/2025,Foreign
Company A,0,2025-01,PAYE,12,ICT," 7,978,272,000.00 "," 8,631,708.61 ",03/02/2025,Foreign
Company A,0,2025-07,PAYE,12,ICT," 7,978,272,000.00 "," 27,469,236.27 ",07/08/2025,Foreign
Company A,0,2025-01,WHT,12,ICT," 7,978,272,000.00 "," 9,033,412.02 ",21/02/2025,Foreign
Company A,0,2025-07,WHT,12,ICT," 7,978,272,000.00 "," 11,370,109.44 ",21/08/2025,Foreign
Company A,0,2024-06,CIT,1,ICT," 5,400,966,000.00 "," 267,301,472.50 ",24/06/2024,Foreign
Company A,0,2025-06,CIT,1,ICT," 7,978,272,000.00 "," 31,790,721.92 ",25/06/2025,Foreign
Company B,0,2025-01,VAT,12,Oil and Gas," 13,053,109,840.00 ", -   ,21/02/2025,Local
Company B,0,2025-07,VAT,12,Oil and Gas," 13,053,109,840.00 ", -   ,21/08/2025,Local
Company B,2,2025-01,PAYE,12,Oil and Gas," 13,053,109,840.00 "," 8,674,212.04 ",12/02/2025,Local
Company B,11,2025-07,PAYE,12,Oil and Gas," 13,053,109,840.00 "," 12,624,534.21 ",21/08/2025,Local
Company B,1,2025-01,WHT,12,Oil and Gas," 13,053,109,840.00 "," 1,455,670.00 ",22/02/2025,Local
Company B,0,2025-07,WHT,12,Oil and Gas," 13,053,109,840.00 "," 1,254,450.00 ",18/07/2025,Local
Company B,312,2024-06,CIT,1,Oil and Gas," 13,053,109,840.00 "," 42,351,605.24 ",26/06/2024,Local
Company B,677,2025-06,CIT,1,Oil and Gas," 16,565,369,740.00 "," 39,342,504.60 ",24/06/2025,Local
Company C,0,2025-01,VAT,12,Oil and Gas," 67,762,748,000.00 ", -   ,15/02/2025,Local
Company C,0,2025-06,VAT,12,Oil and Gas," 67,762,748,000.00 ", -   ,12/08/2025,Local
Company C,1,2025-01,PAYE,12,Oil and Gas," 67,762,748,000.00 "," 25,900,900.82 ",11/02/2025,Local
Company C,0,2025-07,PAYE,12,Oil and Gas," 67,762,748,000.00 "," 24,748,593.48 ",07/08/2025,Local
Company C,0,2025-01,WHT,12,Oil and Gas," 67,762,748,000.00 "," 6,850,385.21 ",12/02/2025,Local
Company C,0,2025-07,WHT,12,Oil and Gas," 67,762,748,000.00 "," 3,944,062.10 ",15/08/2025,Local
Company C,89,2024-06,CIT,1,Oil and Gas," 30,595,367,000.00 "," 964,154,625.00 ",27/09/2024,Local
Company C,70,2025-06,CIT,1,Oil and Gas," 67,762,748,000.00 "," 7,319,115,867.00 ",08/09/2025,Local
Company D,0,2025-01,VAT,12,Oil and Gas," 99,647,644,000.00 ", -   ,21/02/2025,Local
Company D,0,2025-07,VAT,12,Oil and Gas," 99,647,644,000.00 ", -   ,21/08/2025,Local
